Sex,Age,HS,HC,HFC,HNV,Fat_Class,Employment,Recipe_Website_Usage,Cooking_Freq,Cooking_Exp,Goal,Mood,Physical_Activity,Sleep,Stressed,Depressed,Problems,Restriction,Main_Pers,Main_Pop,Second_Pers,Second_Pop,Dessert_Pers,Dessert,PopQ11,Q12,Q13,Q14,Q15,Q16,Q17,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,Q21,Q22,Q23,Q24,Q25,Q26,Q27,EQ21,EQ22,EQ23,EQ24,EQ25,EQ26,Q31,Q32,Q33,Q34,Q35,Q36,Q37,EQ31,EQ32,EQ33,EQ34,EQ35,EQ36,Code
f:q,<25:q,Important:q,Quite healty:q,3:q,3:q,Standard Weight (BMI 19-22.9):q,Student:q,Monthly:q,Monthly:q,1:q,Gain weight:q,Good:q,low:q,low:q,no:q,no:q,,,Pasta and peas,Spaghetti on the rocks,Meatballs with gravy,Warm octopus and potato salad,Coconut balls,Tender cake,right,5,5,4,5,3,no,right,3,5,5,5,5,5,left,5,5,3,5,3,no,right,3,3,4,5,5,5,left,5,4,3,5,5,no,right,4,5,5,2,5,5,5583748
m:q,25-35:q,Very important:q,Healty:q,4:q,4:q,Class I obesity (BMI 25.0-29.9):q,Student:q,Weekly:q,Daily:q,4:q,Lose weight:q,Neutral:q,no:q,low:q,no:q,no:q,-heart--diabete-,-lactosefree--glutenfree-,Vegetable minestrone,Spaghetti with clams,Warm octopus and potato salad,Almond chicken,Lemon granita without ice cream maker,Sweet and salty crepes (basic recipe),none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,5174287
f:q,<25:q,Poorly important:q,Quite healty:q,4:q,5:q,Underweight (BMI <19.0):q,Public company staff:q,Weekly:q,Monthly:q,2:q,Gain weight:q,Bad:q,no:q,high:q,no:q,no:q,-heart-,-glutenfree-,Mushroom risotto,Spaghetti with clams,Warm octopus and potato salad,Vegetable meatballs,Caramel Creams,Tiramisu,right,4,5,4,5,4,no,right,5,5,5,5,5,4,left,5,4,5,4,5,no,right,5,4,5,4,5,4,left,5,4,5,4,5,no,left,5,4,5,5,4,5,7375200
f:q,25-35:q,Important:q,Not healthy:q,3:q,1:q,Standard Weight (BMI 19-22.9):q,Public company staff:q,Weekly:q,Weekly:q,2:q,Gain weight:q,Good:q,high:q,high:q,no:q,no:q,-heart-,-vegetarian-,Cold pasta with ricotta and cherry tomatoes,Bolognese lasagne,Eggplant and cherry tomatoes omelette,Meatballs with gravy,Apricot jam tart,Apple pie,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,4664610
f:q,25-35:q,Important:q,Not healthy:q,3:q,1:q,Standard Weight (BMI 19-22.9):q,Public company staff:q,Weekly:q,Weekly:q,2:q,Gain weight:q,Good:q,high:q,high:q,no:q,no:q,-heart-,-vegetarian-,Sorrento gnocchi,Feathers with a moub,,Eggplant and cherry tomatoes omelette,Tuna calf in the ancient way,Amaretti and chocolate tart,Sweet and salty crepes (basic recipe),none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,8894375
m:q,25-35:q,Important:q,Healty:q,4:q,4:q,Class I obesity (BMI 25.0-29.9):q,Student:q,Weekly:q,Daily:q,4:q,Lose weight:q,Neutral:q,no:q,low:q,no:q,no:q,,-glutenfree--light-,Cold rice with tuna, zucchini and lemon,Baked pasta,Warm octopus and potato salad,Meatballs with gravy,Lemon granita without ice cream maker,Nutella cracks,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,3671727
f:q,25-35:q,Important:q,Not healthy:q,3:q,1:q,Standard Weight (BMI 19-22.9):q,Public company staff:q,Weekly:q,Weekly:q,2:q,Gain weight:q,Good:q,high:q,high:q,no:q,no:q,-heart-,-vegetarian-,Sorrento gnocchi,Gricia paste,Eggplant and cherry tomatoes omelette,Milanese ossibuchi,Apricot jam tart,Sachertorte,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,1167770
m:q,35-45:q,Important:q,Not healthy:q,3:q,2:q,Class I obesity (BMI 25.0-29.9):q,Public company staff:q,Rarely:q,Rarely:q,3:q,Lose weight:q,Neutral:q,low:q,low:q,yes:q,no:q,,,Sea-scented rice salad,Spaghetti allAmatriciana,Fish sticks,Tuna and ricotta meatballs,Biscuits,Chocolate cake with dark heart,left,4,4,4,4,4,no,left,3,2,4,4,4,4,right,4,4,4,4,4,no,left,4,3,3,3,4,4,right,5,5,5,5,5,no,right,5,5,5,5,5,5,5825370
m:q,45-55:q,Very important:q,Very healty:q,5:q,5:q,Overweight (BMI 23.0-24.9):q,Public company staff:q,Weekly:q,Weekly:q,4:q,Lose weight:q,Bad:q,low:q,high:q,no:q,no:q,,-light-,Vegan lasagna,Spaghetti carbonara,Roasted pork arista,Almond chicken,Pasta choux (bignè),Dorayaki,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,8165134
m:q,45-55:q,Very important:q,Very healty:q,5:q,5:q,Underweight (BMI <19.0):q,Public company staff:q,Weekly:q,Weekly:q,1:q,Gain weight:q,Bad:q,low:q,high:q,yes:q,yes:q,,,Meat broth,Spaghetti on the rocks,Omelette (basic recipe),Vegetable meatballs,Coconut balls,Nutella cracks,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,none,,,,,,,4069043
